Value,Epoch,Time,Constraint met?
831.3383774,3,0.736031771,1
831.3383774,5,1.120005369,1
831.3383774,5,1.080112457,1
831.3406942,3,0.74500823,0
831.3383774,4,0.982372999,1
831.3383774,3,0.751989841,1
831.3383774,5,1.057458639,1
831.3383774,5,1.074361086,1
831.3383774,4,0.902288914,1
831.3406942,5,1.095271826,0
831.3383774,5,1.10371542,1
831.3406942,4,0.912961245,0
831.3406942,4,0.947587013,0
831.3383774,6,1.260159969,1
831.3406942,4,0.929258823,0
831.3383774,4,0.899142504,1
831.3383774,3,0.739655972,1
831.3406942,4,0.922685146,0
831.3383774,4,0.900359154,1
831.3383774,4,0.941619396,1
831.3383774278187,3,0.750993013381958,1
831.3383774278183,5,1.0781188011169434,1
831.3406941723736,4,0.8917727470397949,0
831.3383774278182,5,1.0838725566864014,1
831.3383774278182,4,0.9076540470123291,1
831.3383774278184,4,0.9132781028747559,1
831.3383774278183,3,0.7221100330352783,1
831.3383774278184,4,0.923130989074707,1
831.3383774278186,5,1.1334254741668701,1
831.3383774278183,4,0.9387505054473877,1
831.3383774278184,3,0.7242484092712402,1
831.3383774278183,5,1.0892999172210693,1
831.340694172374,3,0.7593133449554443,0
831.3383774278187,4,0.9365196228027344,1
831.340694172374,4,0.9434843063354492,0
831.3383774278187,4,1.0003249645233154,1
831.340694172374,3,0.7666792869567871,0
831.340694172374,5,1.1598989963531494,0
831.3406941723738,4,0.920567512512207,0
831.3406941723741,4,1.0698926448822021,0
831.3383774278183,4,0.9267597198486328,1
831.3383774278183,3,0.8123695850372314,1
831.3383774278187,5,1.1134932041168213,1
831.340694172374,3,0.7491064071655273,0
831.3383774278187,5,1.212622880935669,1
831.3406941723741,5,1.0922558307647705,0
831.3383774278183,4,1.0853335857391357,1
831.3383774278183,5,1.0823142528533936,1
831.3383774278187,3,0.7400000095367432,1
831.3383774278186,3,0.7254157066345215,1
831.340694172374,3,0.7629685401916504,0
831.3383774278183,4,0.9071612358093262,1
831.3383774278184,5,1.059108018875122,1
